ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
129     30      66.320633       N/A     416.731659      104.480865      135.142578      0.373828        0.291938        1.570076        mushroom        yes     -6.556549       1883    0.163095        416.176941      103.030434      134.964096      333.314423
130     7       113.390648      N/A     319.233734      221.306366      110.264679      0.481123        N/A     1.481951        stubby  yes     54.565462       280     0       319.779999      221.834 111.332001      160.850601
131     11      36.67181        N/A     347.100433      211.727524      112.110222      0.364879        0.02    1.558905        mushroom        yes     -6.823609       602     0.491867        348.118683      213.147308      111.901154      188.740204
132     13      22.627888       N/A     372.588196      194.376266      119.381836      0.422353        0.316837        1.492004        mushroom        yes     -79.010291      1005    0.166299        372.881287      194.247452      117.733231      222.911713
133     24      30.075813       N/A     368.028992      155.198654      129.252045      0.680807        0.02    1.551606        mushroom        yes     -10.512827      1713    0.229991        366.314789      154.984787      128.931473      252.587021
134     43      109.740509      N/A     352.015472      199.1465        131.117111      0.02    N/A     1.622004        thin    yes     63.317461       2435    0.789882        352.112793      200.086609      132.997726      207.556641
135     6       95.085373       N/A     303.183533      240.351547      107.552765      0.555267        N/A     1.546927        stubby  yes     -73.726818      252     0.247427        303.626434      239.881241      105.339684      133.784912
136     42      105.884048      N/A     353.663361      130.437454      140.514694      0.726959        0.630555        1.452826        mushroom        yes     -59.296759      2384    0.984767        354.298309      130.504745      139.439468      278.802643
137     21      169.817505      N/A     395.833588      190.549042      117.60228       0.627432        0.2     1.458871        mushroom        yes     54.882861       1391    0       395.378815      189.979935      118.638161      246.800934
138     14      28.35688        N/A     387.576508      178.593842      127.327881      0.697641        0.02    1.485635        mushroom        yes     8.768149        1044    0       387.089996      179.800369      127.528534      248.340561
139     7       113.390648      N/A     325.8125        214.746078      112.479965      0.256711        0.02    1.56174 thin    yes     33.616288       296     0       324.519989      214.421005      113.365997      170.571075
140     43      109.740509      N/A     403.347748      170.318283      161.698898      0.775177        0.02    1.385023        mushroom        yes     68.7719 2560    0.697882        403.045197      170.110291      162.644089      280.59668
141     12      149.54274       N/A     383.869812      208.515945      121.185196      0.575628        0.02    1.493531        mushroom        yes     -1.517474       685     0       384.054932      209.92424       121.147568      229.924362
142     23      39.485191       N/A     345.048553      183.278809      126.155296      0.397718        N/A     1.513686        stubby  yes     40.372834       1686    0.795433        346.194946      183.609573      127.169777      213.66655
143     42      105.884048      N/A     350.67981       180.492844      132.293259      0.504953        0.02    1.483291        mushroom        yes     -5.027242       2316    0.726456        352.188995      180.541153      132.160431      222.081512
144     12      149.54274       N/A     442.08786       196.735794      134.34845       0.51974 0.02    1.495746        mushroom        yes     58.761862       834     0       441.535278      196.155502      135.669571      296.182343
145     8       66.177658       N/A     355.656464      109.42659       116.422745      0.617883        N/A     1.424275        thin    yes     59.929838       481     0.943838        356.195953      109.086823      117.523926      290.883209
146     43      109.740509      N/A     388.176025      185.884506      154.503754      0.413002        0.02    1.493195        mushroom        yes     13.680229       2527    0       389.092987      186.945007      154.845001      255.971085
147     8       66.177658       N/A     350.918182      121.942604      117.746811      0.303592        0.02    1.46323 thin    yes     58.364645       466     0.088572        351.435608      121.463112      118.891899      277.281799
148     32      22.734785       N/A     458.819183      75.916031       127.531769      0.02    N/A     1.610064        thin    yes     41.708969       1979    0.209523        457.825195      75.201698       128.622696      391.280457
149     8       66.177658       N/A     358.631897      102.200005      115.663277      0.268358        0.02    1.559299        thin    yes     76.687078       484     0       358.330994      102.497002      117.449997      298.26532
150     21      169.817505      N/A     433.093719      178.918396      127.43737       0.489217        0.02    1.467706        mushroom        yes     -56.612393      1503    0.723777        433.200012      179.87674       125.974365      289.222076
151     42      105.884048      N/A     355.79306       161.233719      135.418808      0.965957        0.02    1.442592        mushroom        yes     -2.888505       2339    0.150429        357.016449      161.175446      135.35701       243.291443
152     42      105.884048      N/A     354.944336      144.737213      136.554901      0.249874        0.02    1.475102        thin    yes     73.184694       2358    0.494791        355.301117      145.004547      138.030121      260.896057
153     6       95.085373       N/A     294.925629      244.579575      102.184547      0.3233  0.02    1.511013        thin    yes     19.730773       245     0.747577        296.494019      245.821014      102.901955      123.680168
154     30      66.320633       N/A     399.700287      112.037445      131.681641      0.54302 N/A     1.462764        stubby  yes     63.426239       1847    0       400.013 112.718002      133.179001      313.300049
155     8       66.177658       N/A     348.712585      125.007385      118.460129      0.436688        N/A     1.42535 stubby  yes     62.229958       455     0       349.285614      125.28521       119.66951       272.53241
156     41      10.278708       N/A     343.357025      202.935867      123.082191      0.6039  N/A     1.463045        stubby  yes     48.992847       2278    0.48461 342.430145      203.81636       124.552483      193.194855
